year_DateTime1,month_DateTime1,day_DateTime1,sum_Adoption,sum_Died,sum_Euthanasia,sum_Return_to_owner,sum_Transfer
2015,12,25,1,0,0,1,2
2015,12,26,17,1,0,11,5
2015,12,27,10,0,1,6,13
2015,12,28,12,0,0,11,15
2015,12,29,17,0,0,6,3
2015,12,30,8,0,7,11,2
2015,12,31,16,0,0,9,7
2016,1,1,0,0,1,3,6
2016,1,2,19,0,1,7,7
2016,1,3,11,1,3,5,3
2016,1,4,9,0,1,11,12
2016,1,5,11,0,1,6,13
2016,1,6,9,0,2,14,10
2016,1,7,12,0,0,8,8
2016,1,8,6,0,1,4,18
2016,1,9,23,0,0,3,3
2016,1,10,20,0,0,13,3
2016,1,11,15,0,1,6,6
2016,1,12,15,0,1,5,4
2016,1,13,13,0,0,8,5
2016,1,14,5,0,0,7,2
2016,1,15,19,0,0,2,3
2016,1,16,16,0,3,4,16
2016,1,17,17,1,2,8,7
2016,1,18,19,0,0,3,11
2016,1,19,9,0,0,11,6
2016,1,20,12,0,0,5,11
2016,1,21,11,0,0,3,3
2016,1,22,17,0,0,3,7
2016,1,23,17,0,1,4,5
2016,1,24,20,0,0,3,0
2016,1,25,8,0,0,4,10
2016,1,26,4,1,2,8,8
2016,1,27,11,0,1,3,7
2016,1,28,10,1,0,4,5
2016,1,29,9,0,0,7,15
2016,1,30,18,0,0,8,2
2016,1,31,7,0,0,5,5
2016,2,1,12,0,1,6,0
2016,2,2,7,0,0,4,14
2016,2,3,8,0,1,6,7
2016,2,4,12,0,0,6,1
2016,2,5,10,1,1,3,8
2016,2,6,19,0,0,4,4
2016,2,7,11,0,0,5,13
2016,2,8,10,0,0,5,6
2016,2,9,7,1,0,1,8
2016,2,10,7,0,0,2,4
2016,2,11,15,0,1,4,7
2016,2,12,13,0,2,10,6
2016,2,13,28,0,1,6,0
2016,2,14,22,1,0,13,1
2016,2,15,23,0,1,5,10
2016,2,16,12,1,1,12,22
2016,2,17,0,0,1,4,5
2016,2,18,14,0,4,4,2
2016,2,19,7,0,1,4,1
2016,2,20,17,0,2,8,3
2016,2,21,17,0,0,8,10
